,Account Statements,Google/Apple Pay,Online Purchases,Mobile Banking App,Rewards Programme,Cheque Payments,International Payments,Cardless Cash Withdrawal,Data and Privacy Control,Fraud Alerts and Monitoring,Budgeting Tools and Resources,Debt Management Services,Financial Assistance,Financial Education Webinars,Personalised Financial Advice,Overdraft Protection,Digital Confidence,Bereavement Support,Bonds,Stock Trading and Shares,International Trading,Investment Accounts,Fixed Term Savings,Fund Performance,Savings Options,Self-Invested Personal Pension (SIPP),Personal Pension,Retirement Planning Calculator,Current Accounts,ISA Accounts,Student account,Daily Savings,Debit Cards,Fixed-rate Credit Card,Fixed Deposit,Trustee Banking,Balance Transfer,Interest Rates,Mortgage Calculator,Mortgage Rates,Personal Loan Calculator,Remortgage Options,Other Borrowing Options,Student Loan Repayment,Claims,Car Insurance Renewal,Life Insurance Coverage,Travel Insurance,Insurance Coverage Calculator,Credit Score
Account Statements,0.0,7.5,17.5,25.0,22.5,10.0,15.0,2.5,12.5,10.0,5.0,0.0,5.0,2.5,5.0,17.5,5.0,7.5,7.5,2.5,5.0,7.5,5.0,7.5,5.0,5.0,5.0,5.0,15.0,7.5,15.0,5.0,20.0,2.5,7.5,15.0,10.0,2.5,5.0,2.5,2.5,7.5,7.5,5.0,10.0,2.5,5.0,7.5,0.0,5.0
Google/Apple Pay,7.5,0.0,27.500000000000004,17.5,15.0,25.0,25.0,22.5,10.0,12.5,10.0,5.0,10.0,7.5,12.5,10.0,7.5,10.0,0.0,0.0,2.5,0.0,5.0,2.5,2.5,5.0,5.0,2.5,10.0,2.5,7.5,7.5,7.5,10.0,7.5,10.0,10.0,0.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,10.0,7.5,7.5,0.0,2.5
Online Purchases,17.5,27.500000000000004,0.0,27.500000000000004,27.500000000000004,22.5,25.0,22.5,12.5,17.5,5.0,10.0,2.5,2.5,2.5,7.5,10.0,7.5,0.0,2.5,2.5,0.0,0.0,5.0,7.5,2.5,2.5,2.5,12.5,0.0,10.0,7.5,12.5,7.5,5.0,10.0,20.0,10.0,5.0,5.0,2.5,7.5,10.0,12.5,17.5,10.0,12.5,12.5,5.0,10.0
Mobile Banking App,25.0,17.5,27.500000000000004,0.0,20.0,17.5,12.5,7.5,10.0,7.5,12.5,7.5,7.5,2.5,5.0,12.5,12.5,7.5,7.5,2.5,7.5,2.5,10.0,12.5,5.0,2.5,2.5,7.5,12.5,5.0,15.0,7.5,17.5,15.0,2.5,15.0,17.5,10.0,10.0,2.5,7.5,7.5,7.5,2.5,2.5,2.5,7.5,7.5,2.5,5.0
Rewards Programme,22.5,15.0,27.500000000000004,20.0,0.0,10.0,10.0,12.5,15.0,22.5,10.0,5.0,5.0,2.5,7.5,10.0,7.5,15.0,7.5,5.0,12.5,5.0,10.0,12.5,10.0,10.0,7.5,7.5,12.5,5.0,15.0,12.5,17.5,17.5,12.5,20.0,10.0,12.5,12.5,0.0,5.0,7.5,7.5,5.0,15.0,5.0,5.0,2.5,2.5,10.0
Cheque Payments,10.0,25.0,22.5,17.5,10.0,0.0,35.0,15.0,5.0,5.0,5.0,7.5,2.5,5.0,5.0,5.0,0.0,5.0,2.5,5.0,5.0,5.0,7.5,5.0,5.0,5.0,7.5,2.5,20.0,2.5,10.0,10.0,12.5,12.5,5.0,5.0,12.5,7.5,10.0,5.0,5.0,2.5,5.0,7.5,7.5,2.5,2.5,2.5,0.0,0.0
International Payments,15.0,25.0,25.0,12.5,10.0,35.0,0.0,20.0,10.0,10.0,2.5,2.5,5.0,10.0,7.5,7.5,5.0,7.5,0.0,5.0,7.5,5.0,7.5,7.5,2.5,5.0,2.5,2.5,7.5,2.5,7.5,5.0,7.5,5.0,7.5,10.0,12.5,2.5,7.5,5.0,2.5,2.5,5.0,10.0,10.0,2.5,0.0,2.5,0.0,2.5
Cardless Cash Withdrawal,2.5,22.5,22.5,7.5,12.5,15.0,20.0,0.0,10.0,12.5,7.5,7.5,7.5,7.5,10.0,7.5,7.5,10.0,2.5,5.0,2.5,0.0,7.5,12.5,2.5,2.5,5.0,0.0,7.5,5.0,2.5,5.0,10.0,15.0,7.5,7.5,5.0,2.5,7.5,5.0,2.5,2.5,2.5,5.0,12.5,5.0,5.0,2.5,5.0,2.5
Data and Privacy Control,12.5,10.0,12.5,10.0,15.0,5.0,10.0,10.0,0.0,25.0,7.5,5.0,7.5,7.5,2.5,7.5,22.5,17.5,2.5,2.5,10.0,0.0,10.0,5.0,5.0,2.5,5.0,5.0,5.0,0.0,5.0,2.5,2.5,5.0,7.5,5.0,5.0,10.0,10.0,10.0,2.5,5.0,10.0,0.0,10.0,5.0,7.5,5.0,5.0,10.0
Fraud Alerts and Monitoring,10.0,12.5,17.5,7.5,22.5,5.0,10.0,12.5,25.0,0.0,7.5,15.0,15.0,10.0,10.0,7.5,15.0,12.5,2.5,2.5,7.5,0.0,5.0,10.0,2.5,2.5,2.5,2.5,5.0,2.5,2.5,5.0,10.0,5.0,5.0,12.5,7.5,2.5,5.0,0.0,5.0,2.5,2.5,2.5,17.5,2.5,5.0,2.5,7.5,7.5
