,Account Statements,Balance Transfer,Debit Cards,Current Accounts,Student account,Cheque Payments,International Payments,Cardless Cash Withdrawal,Online Purchases,Google/Apple Pay,Mobile Banking App,Fixed-rate Credit Card,Bonds,Stock Trading and Shares,Investment Accounts,International Trading,Fund Performance,Fixed Deposit,Fixed Term Savings,ISA Accounts,Savings Options,Daily Savings,Personal Pension,Self-Invested Personal Pension (SIPP),Retirement Planning Calculator,Bereavement Support,Debt Management Services,Financial Assistance,Budgeting Tools and Resources,Financial Education Webinars,Personalised Financial Advice,Overdraft Protection,Data and Privacy Control,Fraud Alerts and Monitoring,Digital Confidence,Mortgage Calculator,Personal Loan Calculator,Mortgage Rates,Remortgage Options,Other Borrowing Options,Credit Score,Car Insurance Renewal,Travel Insurance,Life Insurance Coverage,Insurance Coverage Calculator,Interest Rates,Rewards Programme,Claims,Student Loan Repayment,Trustee Banking
Account Statements,0.0,47.5,47.5,60.0,37.5,42.5,37.5,42.5,45.0,37.5,47.5,20.0,17.5,12.5,17.5,15.0,12.5,20.0,25.0,22.5,25.0,42.5,12.5,10.0,17.5,7.5,12.5,10.0,17.5,17.5,25.0,30.0,22.5,12.5,10.0,12.5,30.0,2.5,10.0,15.0,37.5,7.5,2.5,5.0,15.0,15.0,42.5,15.0,15.0,25.0
Balance Transfer,47.5,0.0,72.5,52.5,35.0,60.0,47.5,47.5,42.5,35.0,37.5,45.0,12.5,7.5,12.5,15.0,10.0,22.5,25.0,22.5,15.0,35.0,10.0,7.5,2.5,7.5,15.0,12.5,10.0,12.5,10.0,35.0,7.5,5.0,5.0,5.0,17.5,7.5,12.5,25.0,22.5,7.5,12.5,5.0,2.5,15.0,30.0,12.5,30.0,30.0
Debit Cards,47.5,72.5,0.0,65.0,47.5,62.5,52.5,50.0,45.0,45.0,45.0,52.5,10.0,2.5,12.5,7.5,5.0,22.5,27.500000000000004,25.0,20.0,35.0,12.5,10.0,2.5,2.5,10.0,5.0,7.5,7.5,7.5,27.500000000000004,10.0,7.5,5.0,0.0,15.0,0.0,7.5,12.5,20.0,7.5,10.0,0.0,2.5,7.5,32.5,5.0,22.5,40.0
Current Accounts,60.0,52.5,65.0,0.0,72.5,47.5,42.5,37.5,40.0,32.5,40.0,32.5,20.0,12.5,27.500000000000004,12.5,10.0,30.0,40.0,45.0,25.0,45.0,22.5,20.0,2.5,7.5,12.5,5.0,10.0,7.5,7.5,25.0,15.0,2.5,7.5,0.0,17.5,2.5,5.0,12.5,15.0,12.5,10.0,7.5,0.0,12.5,35.0,7.5,25.0,40.0
Student account,37.5,35.0,47.5,72.5,0.0,35.0,32.5,20.0,22.5,22.5,25.0,25.0,15.0,10.0,22.5,7.5,10.0,20.0,30.0,37.5,22.5,25.0,22.5,20.0,2.5,10.0,15.0,7.5,10.0,7.5,7.5,25.0,20.0,10.0,7.5,0.0,10.0,0.0,5.0,12.5,10.0,7.5,15.0,7.5,7.5,7.5,25.0,15.0,35.0,37.5
Cheque Payments,42.5,60.0,62.5,47.5,35.0,0.0,72.5,57.49999999999999,55.00000000000001,45.0,52.5,27.500000000000004,5.0,5.0,7.5,17.5,2.5,22.5,22.5,15.0,12.5,22.5,10.0,5.0,2.5,5.0,7.5,5.0,5.0,7.5,12.5,30.0,17.5,7.5,5.0,0.0,12.5,0.0,2.5,12.5,17.5,10.0,5.0,2.5,2.5,5.0,32.5,7.5,30.0,37.5
International Payments,37.5,47.5,52.5,42.5,32.5,72.5,0.0,57.49999999999999,55.00000000000001,45.0,45.0,27.500000000000004,12.5,15.0,15.0,30.0,15.0,25.0,20.0,20.0,12.5,22.5,7.5,7.5,5.0,12.5,12.5,7.5,12.5,20.0,15.0,22.5,20.0,12.5,12.5,2.5,15.0,5.0,5.0,12.5,17.5,15.0,12.5,7.5,7.5,15.0,22.5,12.5,32.5,27.500000000000004
Cardless Cash Withdrawal,42.5,47.5,50.0,37.5,20.0,57.49999999999999,57.49999999999999,0.0,67.5,65.0,57.49999999999999,22.5,7.5,10.0,10.0,22.5,5.0,20.0,17.5,10.0,15.0,25.0,5.0,5.0,7.5,17.5,17.5,15.0,17.5,20.0,12.5,35.0,22.5,17.5,20.0,5.0,15.0,5.0,7.5,12.5,20.0,17.5,10.0,7.5,5.0,15.0,35.0,10.0,22.5,20.0
Online Purchases,45.0,42.5,45.0,40.0,22.5,55.00000000000001,55.00000000000001,67.5,0.0,67.5,57.49999999999999,20.0,5.0,5.0,7.5,20.0,2.5,12.5,10.0,10.0,15.0,27.500000000000004,2.5,2.5,2.5,17.5,12.5,12.5,7.5,15.0,15.0,27.500000000000004,22.5,22.5,12.5,2.5,12.5,5.0,12.5,22.5,25.0,20.0,10.0,7.5,2.5,7.5,30.0,20.0,32.5,15.0
Google/Apple Pay,37.5,35.0,45.0,32.5,22.5,45.0,45.0,65.0,67.5,0.0,67.5,25.0,7.5,5.0,7.5,12.5,7.5,17.5,10.0,15.0,12.5,27.500000000000004,7.5,5.0,5.0,10.0,15.0,15.0,12.5,12.5,12.5,25.0,25.0,22.5,17.5,5.0,15.0,5.0,7.5,10.0,22.5,5.0,5.0,5.0,5.0,15.0,27.500000000000004,7.5,15.0,12.5
