,Air Conditioners,Air Purifiers,Radiators,Fans,Coffee Makers,Juicers,Kitchen Scales,Deep Fryers,Cookers,Electric Kettles,Fridges,Ovens,Washing Machines,Dishwashers,Freezers,Hobs,Microwave Ovens,Vacuum Cleaners,Irons,Stand Mixers,Cameras,Chargers,Smart Watches,Smartphones,Drones,Gaming Consoles,PC Games,VR Headsets,Tablets,Radios,Computer Mice,Desktop Computers,Keyboards,Printers,Monitors,Scanners,Microphones,Speakers,Graphic Cards,Laptops,Headphones,E-Readers,Phone Cases,Processors,Televisions,Electric Toothbrushes,Hair Dryers,Shavers,Trimmers,Musical Instruments
Air Conditioners,0.0,35.0,35.0,30.0,5.0,5.0,2.5,2.5,5.0,2.5,7.5,7.5,12.5,10.0,7.5,5.0,0.0,22.5,10.0,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,5.0,0.0,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,7.5,10.0,2.5,7.5,7.5,0.0
Air Purifiers,35.0,0.0,37.5,25.0,5.0,2.5,5.0,2.5,5.0,5.0,5.0,5.0,15.0,7.5,0.0,2.5,5.0,22.5,20.0,2.5,7.5,5.0,7.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,5.0,2.5,5.0,5.0,5.0,2.5,2.5,5.0,5.0,0.0,7.5,7.5,7.5,10.0,10.0,10.0,2.5
Radiators,35.0,37.5,0.0,27.500000000000004,10.0,12.5,7.5,10.0,12.5,7.5,15.0,12.5,20.0,12.5,12.5,10.0,10.0,25.0,12.5,7.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,2.5,10.0,7.5,12.5,12.5,2.5
Fans,30.0,25.0,27.500000000000004,0.0,5.0,7.5,5.0,5.0,5.0,2.5,7.5,2.5,12.5,2.5,5.0,5.0,5.0,22.5,15.0,5.0,5.0,2.5,5.0,5.0,0.0,0.0,2.5,0.0,0.0,5.0,2.5,5.0,2.5,7.5,2.5,5.0,2.5,2.5,0.0,5.0,5.0,2.5,0.0,2.5,7.5,15.0,7.5,5.0,7.5,5.0
Coffee Makers,5.0,5.0,10.0,5.0,0.0,42.5,42.5,37.5,32.5,35.0,27.500000000000004,27.500000000000004,17.5,32.5,27.500000000000004,30.0,32.5,10.0,10.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,2.5,2.5,5.0,7.5,0.0
Juicers,5.0,2.5,12.5,7.5,42.5,0.0,45.0,37.5,30.0,30.0,30.0,27.500000000000004,20.0,22.5,30.0,22.5,30.0,10.0,7.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.5,5.0,0.0,5.0,5.0,0.0
Kitchen Scales,2.5,5.0,7.5,5.0,42.5,45.0,0.0,40.0,35.0,35.0,25.0,27.500000000000004,20.0,30.0,27.500000000000004,20.0,30.0,7.5,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,10.0,2.5,2.5,5.0,0.0
Deep Fryers,2.5,2.5,10.0,5.0,37.5,37.5,40.0,0.0,32.5,25.0,35.0,25.0,17.5,27.500000000000004,22.5,25.0,27.500000000000004,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,2.5,2.5,0.0
Cookers,5.0,5.0,12.5,5.0,32.5,30.0,35.0,32.5,0.0,30.0,32.5,35.0,35.0,32.5,32.5,32.5,25.0,12.5,7.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.5,7.5,7.5,7.5,0.0
Electric Kettles,2.5,5.0,7.5,2.5,35.0,30.0,35.0,25.0,30.0,0.0,20.0,20.0,15.0,22.5,22.5,17.5,25.0,10.0,12.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,5.0,5.0,7.5,0.0
