,Air Conditioners,Air Purifiers,Fans,Radiators,Vacuum Cleaners,Irons,Coffee Makers,Deep Fryers,Electric Kettles,Kitchen Scales,Juicers,Microwave Ovens,Cookers,Ovens,Freezers,Hobs,Stand Mixers,Fridges,Dishwashers,Washing Machines,Electric Toothbrushes,Shavers,Trimmers,Hair Dryers,Cameras,Computer Mice,Keyboards,Monitors,Desktop Computers,Graphic Cards,Laptops,Printers,Scanners,Tablets,E-Readers,Gaming Consoles,PC Games,Microphones,VR Headsets,Speakers,Processors,Headphones,Smart Watches,Smartphones,Chargers,Phone Cases,Drones,Radios,Televisions,Musical Instruments
Air Conditioners,0.0,82.5,75.0,80.0,65.0,60.0,20.0,20.0,20.0,22.5,25.0,22.5,22.5,22.5,25.0,20.0,22.5,25.0,27.500000000000004,37.5,20.0,22.5,25.0,25.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,5.0,2.5,2.5,2.5,2.5,5.0,5.0,5.0,2.5,7.5,0.0,5.0,7.5,12.5,20.0,10.0
Air Purifiers,82.5,0.0,85.0,77.5,72.5,62.5,20.0,20.0,20.0,22.5,25.0,22.5,22.5,22.5,22.5,20.0,25.0,22.5,30.0,37.5,25.0,30.0,32.5,32.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,10.0,5.0,2.5,10.0,7.5,5.0,2.5,2.5,5.0,5.0,7.5,0.0,7.5,2.5,5.0,7.5,17.5,30.0,10.0
Fans,75.0,85.0,0.0,75.0,60.0,57.49999999999999,15.0,15.0,15.0,15.0,17.5,17.5,17.5,17.5,17.5,15.0,17.5,17.5,20.0,27.500000000000004,20.0,25.0,25.0,30.0,7.5,12.5,12.5,12.5,10.0,12.5,10.0,15.0,12.5,5.0,10.0,7.5,12.5,10.0,10.0,12.5,12.5,10.0,0.0,10.0,5.0,7.5,5.0,12.5,25.0,17.5
Radiators,80.0,77.5,75.0,0.0,62.5,52.5,17.5,17.5,17.5,20.0,17.5,20.0,20.0,20.0,22.5,17.5,15.0,22.5,25.0,32.5,20.0,20.0,25.0,27.500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,5.0,2.5,2.5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,2.5,2.5,15.0,27.500000000000004,10.0
Vacuum Cleaners,65.0,72.5,60.0,62.5,0.0,67.5,35.0,35.0,35.0,37.5,35.0,37.5,35.0,35.0,37.5,32.5,32.5,40.0,45.0,57.49999999999999,22.5,22.5,22.5,30.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,2.5,5.0,2.5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,2.5,2.5,17.5,27.500000000000004,5.0
Irons,60.0,62.5,57.49999999999999,52.5,67.5,0.0,40.0,40.0,40.0,37.5,40.0,42.5,40.0,40.0,37.5,37.5,35.0,37.5,37.5,40.0,25.0,27.500000000000004,27.500000000000004,30.0,5.0,5.0,2.5,2.5,2.5,2.5,5.0,12.5,5.0,7.5,7.5,5.0,2.5,2.5,5.0,7.5,5.0,5.0,5.0,10.0,2.5,5.0,10.0,12.5,25.0,15.0
Coffee Makers,20.0,20.0,15.0,17.5,35.0,40.0,0.0,97.5,97.5,95.0,92.5,92.5,87.5,87.5,82.5,85.0,90.0,82.5,77.5,65.0,7.5,5.0,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,12.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,20.0,0.0,5.0,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Deep Fryers,20.0,20.0,15.0,17.5,35.0,40.0,97.5,0.0,100.0,97.5,95.0,95.0,90.0,90.0,85.0,87.5,92.5,85.0,80.0,67.5,7.5,5.0,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,20.0,0.0,5.0,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Electric Kettles,20.0,20.0,15.0,17.5,35.0,40.0,97.5,100.0,0.0,97.5,95.0,95.0,90.0,90.0,85.0,87.5,92.5,85.0,80.0,67.5,7.5,5.0,5.0,10.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,20.0,0.0,5.0,2.5,0.0,0.0,0.0,2.5,7.5,0.0
Kitchen Scales,22.5,22.5,15.0,20.0,37.5,37.5,95.0,97.5,97.5,0.0,92.5,92.5,87.5,87.5,82.5,85.0,90.0,82.5,82.5,70.0,10.0,7.5,7.5,12.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,20.0,2.5,5.0,2.5,0.0,0.0,0.0,5.0,10.0,0.0
