,Account Statements,Mobile Banking App,Rewards Programme,Balance Transfer,Current Accounts,Debit Cards,Daily Savings,Fixed Term Savings,Savings Options,ISA Accounts,Student account,Fixed-rate Credit Card,Bonds,Stock Trading and Shares,Investment Accounts,International Trading,Overdraft Protection,Trustee Banking,Personal Pension,Self-Invested Personal Pension (SIPP),Cardless Cash Withdrawal,Google/Apple Pay,Online Purchases,Cheque Payments,International Payments,Fixed Deposit,Retirement Planning Calculator,Bereavement Support,Budgeting Tools and Resources,Debt Management Services,Financial Assistance,Personalised Financial Advice,Financial Education Webinars,Mortgage Calculator,Mortgage Rates,Remortgage Options,Other Borrowing Options,Personal Loan Calculator,Digital Confidence,Student Loan Repayment,Data and Privacy Control,Fraud Alerts and Monitoring,Fund Performance,Interest Rates,Car Insurance Renewal,Life Insurance Coverage,Travel Insurance,Insurance Coverage Calculator,Claims,Credit Score
Account Statements,0.0,71.42857142857143,69.23076923076923,36.36363636363637,66.66666666666666,61.53846153846154,20.0,20.0,16.666666666666664,23.076923076923077,42.857142857142854,8.333333333333332,23.076923076923077,7.142857142857142,21.428571428571427,13.333333333333334,53.84615384615385,66.66666666666666,25.0,14.285714285714285,11.11111111111111,30.0,50.0,33.33333333333333,37.5,23.076923076923077,16.666666666666664,23.076923076923077,16.666666666666664,0.0,13.333333333333334,20.0,8.333333333333332,14.285714285714285,9.090909090909092,23.076923076923077,23.076923076923077,10.0,16.666666666666664,15.384615384615385,41.66666666666667,30.76923076923077,23.076923076923077,9.090909090909092,6.666666666666667,14.285714285714285,16.666666666666664,0.0,28.57142857142857,15.384615384615385
Mobile Banking App,71.42857142857143,0.0,57.14285714285714,58.333333333333336,50.0,58.333333333333336,25.0,26.666666666666668,18.181818181818183,16.666666666666664,40.0,46.15384615384615,25.0,8.333333333333332,6.666666666666667,17.647058823529413,41.66666666666667,46.15384615384615,8.333333333333332,8.333333333333332,30.0,46.666666666666664,61.111111111111114,43.75,35.714285714285715,7.6923076923076925,20.0,17.647058823529413,38.46153846153847,25.0,20.0,18.181818181818183,9.090909090909092,26.666666666666668,7.6923076923076925,18.75,20.0,21.428571428571427,35.714285714285715,9.090909090909092,26.666666666666668,30.0,29.411764705882355,26.666666666666668,5.88235294117647,20.0,20.0,7.6923076923076925,7.142857142857142,15.384615384615385
Rewards Programme,69.23076923076923,57.14285714285714,0.0,36.36363636363637,31.25,53.84615384615385,38.46153846153847,21.052631578947366,28.57142857142857,16.666666666666664,40.0,36.84210526315789,20.0,12.5,10.0,26.31578947368421,26.666666666666668,50.0,25.0,22.22222222222222,45.45454545454545,35.294117647058826,57.89473684210527,25.0,25.0,25.0,17.647058823529413,30.0,25.0,13.333333333333334,12.5,20.0,6.25,27.77777777777778,0.0,23.076923076923077,20.0,13.333333333333334,18.75,15.384615384615385,33.33333333333333,47.368421052631575,27.77777777777778,27.77777777777778,11.76470588235294,11.76470588235294,5.263157894736842,7.6923076923076925,30.0,25.0
Balance Transfer,36.36363636363637,58.333333333333336,36.36363636363637,0.0,44.44444444444444,75.0,22.22222222222222,18.181818181818183,16.666666666666664,10.0,25.0,60.0,9.090909090909092,10.0,0.0,8.333333333333332,37.5,37.5,0.0,10.0,28.57142857142857,40.0,50.0,50.0,38.46153846153847,16.666666666666664,7.6923076923076925,7.142857142857142,7.6923076923076925,25.0,9.090909090909092,0.0,11.11111111111111,7.142857142857142,27.27272727272727,44.44444444444444,27.27272727272727,0.0,18.181818181818183,33.33333333333333,18.181818181818183,33.33333333333333,9.090909090909092,27.27272727272727,7.6923076923076925,11.11111111111111,21.428571428571427,0.0,0.0,15.384615384615385
Current Accounts,66.66666666666666,50.0,31.25,44.44444444444444,0.0,90.0,80.0,58.333333333333336,55.55555555555556,76.92307692307693,76.92307692307693,50.0,45.45454545454545,30.76923076923077,61.53846153846154,31.25,40.0,54.54545454545454,55.55555555555556,33.33333333333333,30.0,25.0,33.33333333333333,61.53846153846154,27.27272727272727,43.75,0.0,0.0,16.666666666666664,21.428571428571427,6.666666666666667,10.0,7.142857142857142,21.428571428571427,25.0,0.0,15.384615384615385,14.285714285714285,0.0,18.181818181818183,14.285714285714285,13.333333333333334,40.0,46.15384615384615,13.333333333333334,7.6923076923076925,7.142857142857142,0.0,7.142857142857142,9.090909090909092
Debit Cards,61.53846153846154,58.333333333333336,53.84615384615385,75.0,90.0,0.0,77.77777777777779,58.333333333333336,55.55555555555556,63.63636363636363,72.72727272727273,71.42857142857143,30.76923076923077,25.0,25.0,26.666666666666668,66.66666666666666,42.857142857142854,20.0,25.0,40.0,30.0,38.46153846153847,41.66666666666667,30.0,35.714285714285715,6.666666666666667,7.6923076923076925,20.0,27.27272727272727,9.090909090909092,22.22222222222222,0.0,20.0,20.0,22.22222222222222,10.0,16.666666666666664,8.333333333333332,9.090909090909092,10.0,28.57142857142857,25.0,28.57142857142857,7.6923076923076925,14.285714285714285,15.384615384615385,7.6923076923076925,13.333333333333334,9.090909090909092
Daily Savings,20.0,25.0,38.46153846153847,22.22222222222222,80.0,77.77777777777779,0.0,81.81818181818183,81.81818181818183,63.63636363636363,53.84615384615385,23.076923076923077,38.46153846153847,30.76923076923077,43.75,41.66666666666667,36.36363636363637,44.44444444444444,45.45454545454545,42.857142857142854,22.22222222222222,25.0,21.428571428571427,36.36363636363637,16.666666666666664,50.0,10.0,7.142857142857142,41.66666666666667,30.0,15.384615384615385,15.384615384615385,8.333333333333332,10.0,10.0,7.142857142857142,16.666666666666664,8.333333333333332,0.0,15.384615384615385,7.6923076923076925,22.22222222222222,21.428571428571427,36.36363636363637,8.333333333333332,0.0,0.0,0.0,6.666666666666667,20.0
Fixed Term Savings,20.0,26.666666666666668,21.052631578947366,18.181818181818183,58.333333333333336,58.333333333333336,81.81818181818183,0.0,90.9090909090909,63.63636363636363,33.33333333333333,60.0,66.66666666666666,50.0,44.44444444444444,38.88888888888889,35.714285714285715,60.0,18.181818181818183,42.857142857142854,33.33333333333333,13.333333333333334,0.0,21.428571428571427,21.428571428571427,60.0,11.76470588235294,11.76470588235294,25.0,16.666666666666664,13.333333333333334,15.384615384615385,7.6923076923076925,26.666666666666668,15.384615384615385,8.333333333333332,41.66666666666667,7.6923076923076925,10.526315789473683,0.0,28.57142857142857,14.285714285714285,37.5,47.05882352941176,0.0,6.25,11.76470588235294,10.0,6.25,7.142857142857142
Savings Options,16.666666666666664,18.181818181818183,28.57142857142857,16.666666666666664,55.55555555555556,55.55555555555556,81.81818181818183,90.9090909090909,0.0,50.0,30.76923076923077,31.25,42.857142857142854,33.33333333333333,40.0,40.0,28.57142857142857,44.44444444444444,36.36363636363637,46.15384615384615,8.333333333333332,7.6923076923076925,16.666666666666664,15.384615384615385,6.25,53.84615384615385,16.666666666666664,6.25,33.33333333333333,25.0,13.333333333333334,20.0,7.6923076923076925,13.333333333333334,13.333333333333334,27.27272727272727,38.46153846153847,23.076923076923077,0.0,10.0,13.333333333333334,7.142857142857142,20.0,15.384615384615385,7.142857142857142,7.142857142857142,18.75,0.0,12.5,33.33333333333333
ISA Accounts,23.076923076923077,16.666666666666664,16.666666666666664,10.0,76.92307692307693,63.63636363636363,63.63636363636363,63.63636363636363,50.0,0.0,42.857142857142854,40.0,53.333333333333336,43.75,64.28571428571429,22.22222222222222,33.33333333333333,46.15384615384615,30.0,46.15384615384615,15.384615384615385,6.666666666666667,0.0,9.090909090909092,7.142857142857142,50.0,0.0,6.666666666666667,0.0,15.384615384615385,6.666666666666667,8.333333333333332,0.0,15.384615384615385,22.22222222222222,18.181818181818183,16.666666666666664,26.666666666666668,12.5,0.0,0.0,8.333333333333332,38.88888888888889,33.33333333333333,8.333333333333332,6.666666666666667,0.0,12.5,5.88235294117647,10.0
