,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Air Conditioners,0,33,1,0,8,0,9,8,0,11,3,2,8,8,30,10,10,1,0,10,2,8,24,10,0,9,0,1,9,0,4,9,1,2,2,2,32,5,1,9,1,3,2,9,0,8,10,26,1,15
Air Purifiers,33,0,1,1,8,1,9,8,1,12,3,4,8,10,34,9,9,3,1,13,3,8,25,10,1,9,1,1,9,1,4,9,2,2,4,2,31,7,2,12,0,3,2,10,1,12,13,29,1,15
Cameras,1,1,0,23,0,18,0,0,18,0,24,26,0,2,3,0,1,18,18,2,20,0,2,0,18,0,19,23,0,17,15,0,15,21,14,12,0,23,15,4,26,26,19,0,28,19,4,0,24,0
Chargers,0,1,23,0,0,19,0,0,18,0,20,21,0,2,2,0,1,17,19,1,21,0,1,0,19,0,18,21,0,16,7,0,16,34,13,12,0,15,15,3,25,27,18,0,24,10,3,0,21,0
Coffee Makers,8,8,0,0,0,1,35,39,0,31,0,0,39,3,6,33,33,0,0,4,0,34,16,37,0,38,0,0,37,0,0,35,0,0,5,8,7,1,2,2,2,1,1,36,0,3,2,14,0,26
Computer Mice,0,1,18,19,1,0,1,1,32,1,16,14,1,1,5,1,2,21,35,1,21,1,2,1,36,1,32,27,1,35,5,1,26,16,29,25,0,11,30,2,14,13,22,1,22,10,2,1,24,1
Cookers,9,9,0,0,35,1,0,36,0,34,0,0,36,3,7,37,33,0,0,4,0,37,16,34,0,35,0,0,38,0,0,40,0,0,4,7,8,1,1,2,2,1,1,33,0,3,2,14,0,30
Deep Fryers,8,8,0,0,39,1,36,0,0,32,0,0,40,3,6,34,34,0,0,4,0,35,16,38,0,39,0,0,38,0,0,36,0,0,4,8,7,1,1,2,2,1,1,37,0,3,2,14,0,27
Desktop Computers,0,1,18,18,0,32,0,0,0,0,17,19,0,1,4,0,1,25,31,1,19,0,1,0,36,0,36,23,0,35,4,0,29,15,30,26,0,10,31,2,16,17,23,0,28,12,2,0,22,0
Dishwashers,11,12,0,0,31,1,34,32,0,0,0,0,32,4,8,35,31,0,0,6,1,32,15,30,0,33,0,0,33,0,0,34,0,0,4,7,10,2,1,3,1,1,1,30,0,4,4,18,0,33
Drones,3,3,24,20,0,16,0,0,17,0,0,23,0,4,2,0,1,22,17,2,21,0,4,1,17,0,17,22,0,15,13,0,18,16,11,11,1,20,13,4,21,23,18,1,21,18,4,1,25,0
E-Readers,2,4,26,21,0,14,0,0,19,0,23,0,0,2,4,0,2,22,13,2,19,0,3,0,16,0,20,21,0,15,11,0,19,18,12,11,2,19,14,2,23,23,18,1,29,18,3,1,21,1
Electric Kettles,8,8,0,0,39,1,36,40,0,32,0,0,0,3,6,34,34,0,0,4,0,35,16,38,0,39,0,0,38,0,0,36,0,0,4,8,7,1,1,2,2,1,1,37,0,3,2,14,0,27
Electric Toothbrushes,8,10,2,2,3,1,3,3,1,4,4,2,3,0,8,3,3,3,1,31,3,4,10,5,1,4,2,1,3,1,5,3,1,3,3,1,8,7,2,35,3,3,3,4,3,7,33,9,2,5
Fans,30,34,3,2,6,5,7,6,4,8,2,4,6,8,0,7,7,3,5,12,4,6,23,7,5,6,4,4,7,5,7,7,5,3,6,5,30,5,5,10,0,4,5,7,2,10,10,24,4,11
Freezers,10,9,0,0,33,1,37,34,0,35,0,0,34,3,7,0,36,0,0,4,0,35,15,32,0,33,0,0,35,0,0,37,0,0,4,7,9,1,1,2,1,1,1,33,0,3,2,15,0,32
Fridges,10,9,1,1,33,2,33,34,1,31,1,2,34,3,7,36,0,1,1,4,1,33,15,32,1,33,1,1,33,1,0,33,1,0,5,6,9,1,2,2,0,2,2,33,1,3,2,16,1,30
Gaming Consoles,1,3,18,17,0,21,0,0,25,0,22,22,0,3,3,0,1,0,20,2,19,0,2,0,24,0,25,22,0,22,8,0,33,14,16,15,1,15,18,3,15,19,19,0,23,18,3,2,30,0
Graphic Cards,0,1,18,19,0,35,0,0,31,0,17,13,0,1,5,0,1,20,0,1,20,0,1,0,33,0,31,23,0,36,5,0,25,15,27,28,0,8,30,2,13,14,19,0,21,8,2,0,21,0
Hair Dryers,10,13,2,1,4,1,4,4,1,6,2,2,4,31,12,4,4,2,1,0,2,4,12,4,1,5,1,1,4,1,4,4,1,3,3,1,11,7,2,34,2,2,3,4,2,9,34,12,1,7
Headphones,2,3,20,21,0,21,0,0,19,1,21,19,0,3,4,0,1,19,20,2,0,0,2,0,21,1,21,28,0,20,12,0,22,19,15,13,2,17,18,3,19,19,27,0,21,15,3,2,25,1
Hobs,8,8,0,0,34,1,37,35,0,32,0,0,35,4,6,35,33,0,0,4,0,0,15,33,0,34,0,0,35,0,0,37,0,0,4,7,7,1,1,2,1,1,1,33,0,3,3,13,0,29
Irons,24,25,2,1,16,2,16,16,1,15,4,3,16,10,23,15,15,2,1,12,2,15,0,16,1,15,2,1,17,1,6,16,1,2,5,2,21,5,2,11,2,4,3,14,3,10,11,27,2,16
Juicers,10,10,0,0,37,1,34,38,0,30,1,0,38,5,7,32,32,0,0,4,0,33,16,0,0,37,0,0,36,0,0,34,0,0,4,8,7,1,1,4,2,1,1,37,0,2,4,14,0,27
Keyboards,0,1,18,19,0,36,0,0,36,0,17,16,0,1,5,0,1,24,33,1,21,0,1,0,0,0,34,25,0,37,5,0,29,16,29,26,0,11,32,2,15,14,25,0,24,11,2,0,24,0
Kitchen Scales,9,9,0,0,38,1,35,39,0,33,0,0,39,4,6,33,33,0,0,5,1,34,15,37,0,0,0,0,37,0,0,35,0,0,4,8,8,2,1,3,2,1,1,36,0,4,3,15,0,28
Laptops,0,1,19,18,0,32,0,0,36,0,17,20,0,2,4,0,1,25,31,1,21,0,2,0,34,0,0,23,0,33,5,0,27,13,26,24,0,11,29,2,18,19,21,0,30,13,2,0,24,0
Microphones,1,1,23,21,0,27,0,0,23,0,22,21,0,1,4,0,1,22,23,1,28,0,1,0,25,0,23,0,0,24,13,0,25,20,20,16,0,17,22,2,17,18,30,0,21,16,2,0,31,0
Microwave Ovens,9,9,0,0,37,1,38,38,0,33,0,0,38,3,7,35,33,0,0,4,0,35,17,36,0,37,0,0,0,0,0,38,0,0,4,7,8,1,1,2,2,1,1,35,0,3,2,15,0,28
Monitors,0,1,17,16,0,35,0,0,35,0,15,15,0,1,5,0,1,22,36,1,20,0,1,0,37,0,33,24,0,0,5,0,28,13,31,29,0,8,34,2,14,13,22,0,23,9,2,0,21,0
Musical Instruments,4,4,15,7,0,5,0,0,4,0,13,11,0,5,7,0,0,8,5,4,12,0,6,0,5,0,5,13,0,5,0,0,6,9,5,3,4,14,6,5,9,9,11,0,9,13,4,2,13,0
Ovens,9,9,0,0,35,1,40,36,0,34,0,0,36,3,7,37,33,0,0,4,0,37,16,34,0,35,0,0,38,0,0,0,0,0,4,7,8,1,1,2,2,1,1,33,0,3,2,14,0,30
PC Games,1,2,15,16,0,26,0,0,29,0,18,19,0,1,5,0,1,33,25,1,22,0,1,0,29,0,27,25,0,28,6,0,0,14,21,20,1,11,23,2,11,15,23,0,20,13,2,1,29,0
Phone Cases,2,2,21,34,0,16,0,0,15,0,16,18,0,3,3,0,0,14,15,3,19,0,2,0,16,0,13,20,0,13,9,0,14,0,12,9,1,14,13,4,24,26,17,0,19,11,4,1,19,0
Printers,2,4,14,13,5,29,4,4,30,4,11,12,4,3,6,4,5,16,27,3,15,4,5,4,29,4,26,20,4,31,5,4,21,12,0,24,2,10,36,4,12,11,18,4,19,9,4,4,17,4
Processors,2,2,12,12,8,25,7,8,26,7,11,11,8,1,5,7,6,15,28,1,13,7,2,8,26,8,24,16,7,29,3,7,20,9,24,0,2,6,23,1,11,9,16,8,17,4,1,2,14,5
Radiators,32,31,0,0,7,0,8,7,0,10,1,2,7,8,30,9,9,1,0,11,2,7,21,7,0,8,0,0,8,0,4,8,1,1,2,2,0,6,1,8,0,2,2,6,0,11,10,25,0,13
Radios,5,7,23,15,1,11,1,1,10,2,20,19,1,7,5,1,1,15,8,7,17,1,5,1,11,2,11,17,1,8,14,1,11,14,10,6,6,0,11,8,17,17,18,2,17,28,8,7,17,2
Scanners,1,2,15,15,2,30,1,1,31,1,13,14,1,2,5,1,2,18,30,2,18,1,2,1,32,1,29,22,1,34,6,1,23,13,36,23,1,11,0,3,13,12,19,1,21,9,3,1,19,1
Shavers,9,12,4,3,2,2,2,2,2,3,4,2,2,35,10,2,2,3,2,34,3,2,11,4,2,3,2,2,2,2,5,2,2,4,4,1,8,8,3,0,2,3,3,3,3,8,36,9,2,5
Smart Watches,1,0,26,25,2,14,2,2,16,1,21,23,2,3,0,1,0,15,13,2,19,1,2,2,15,2,18,17,2,14,9,2,11,24,12,11,0,17,13,2,0,30,15,1,26,14,2,0,21,1
Smartphones,3,3,26,27,1,13,1,1,17,1,23,23,1,3,4,1,2,19,14,2,19,1,4,1,14,1,19,18,1,13,9,1,15,26,11,9,2,17,12,3,30,0,14,1,27,18,3,2,21,1
Speakers,2,2,19,18,1,22,1,1,23,1,18,18,1,3,5,1,2,19,19,3,27,1,3,1,25,1,21,30,1,22,11,1,23,17,18,16,2,18,19,3,15,14,0,2,20,19,3,2,23,1
Stand Mixers,9,10,0,0,36,1,33,37,0,30,1,1,37,4,7,33,33,0,0,4,0,33,14,37,0,36,0,0,35,0,0,33,0,0,4,8,6,2,1,3,1,1,2,0,0,2,4,13,0,26
Tablets,0,1,28,24,0,22,0,0,28,0,21,29,0,3,2,0,1,23,21,2,21,0,3,0,24,0,30,21,0,23,9,0,20,19,19,17,0,17,21,3,26,27,20,0,0,16,3,0,23,0
Televisions,8,12,19,10,3,10,3,3,12,4,18,18,3,7,10,3,3,18,8,9,15,3,10,2,11,4,13,16,3,9,13,3,13,11,9,4,11,28,9,8,14,18,19,2,16,0,8,11,15,4
Trimmers,10,13,4,3,2,2,2,2,2,4,4,3,2,33,10,2,2,3,2,34,3,3,11,4,2,3,2,2,2,2,4,2,2,4,4,1,10,8,3,36,2,3,3,4,3,8,0,9,2,4
Vacuum Cleaners,26,29,0,0,14,1,14,14,0,18,1,1,14,9,24,15,16,2,0,12,2,13,27,14,0,15,0,0,15,0,2,14,1,1,4,2,25,7,1,9,0,2,2,13,0,11,9,0,0,23
