,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Air Conditioners,0.0,35.0,2.5,2.5,5.0,2.5,5.0,2.5,0.0,10.0,0.0,2.5,2.5,10.0,30.0,7.5,7.5,0.0,2.5,2.5,2.5,5.0,10.0,5.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,7.5,0.0,2.5,5.0,2.5,35.0,2.5,2.5,7.5,2.5,0.0,2.5,5.0,0.0,7.5,7.5,22.5,0.0,12.5
Air Purifiers,35.0,0.0,7.5,5.0,5.0,2.5,5.0,2.5,2.5,7.5,0.0,5.0,5.0,7.5,25.0,0.0,5.0,0.0,2.5,10.0,5.0,2.5,20.0,2.5,2.5,5.0,2.5,5.0,5.0,2.5,2.5,5.0,0.0,0.0,5.0,7.5,37.5,2.5,5.0,10.0,7.5,2.5,5.0,2.5,2.5,7.5,10.0,22.5,0.0,15.0
Cameras,2.5,7.5,0.0,25.0,0.0,12.5,0.0,0.0,15.0,0.0,25.0,17.5,0.0,17.5,5.0,0.0,0.0,22.5,12.5,5.0,20.0,2.5,5.0,0.0,15.0,0.0,15.0,17.5,0.0,5.0,15.0,2.5,17.5,10.0,12.5,15.0,2.5,27.500000000000004,17.5,5.0,27.500000000000004,20.0,17.5,2.5,22.5,22.5,5.0,2.5,20.0,0.0
Chargers,2.5,5.0,25.0,0.0,0.0,17.5,0.0,0.0,20.0,0.0,15.0,17.5,0.0,12.5,2.5,0.0,0.0,17.5,12.5,2.5,22.5,0.0,0.0,0.0,20.0,0.0,15.0,20.0,0.0,12.5,12.5,2.5,12.5,22.5,15.0,15.0,0.0,12.5,20.0,2.5,30.0,20.0,22.5,2.5,25.0,15.0,5.0,0.0,12.5,0.0
Coffee Makers,5.0,5.0,0.0,0.0,0.0,0.0,32.5,37.5,0.0,32.5,0.0,0.0,35.0,2.5,5.0,27.500000000000004,27.500000000000004,0.0,0.0,2.5,0.0,30.0,10.0,42.5,2.5,42.5,0.0,0.0,32.5,2.5,0.0,27.500000000000004,0.0,0.0,0.0,5.0,10.0,0.0,2.5,5.0,0.0,0.0,0.0,22.5,0.0,2.5,7.5,10.0,0.0,17.5
Computer Mice,2.5,2.5,12.5,17.5,0.0,0.0,0.0,0.0,30.0,0.0,10.0,17.5,0.0,7.5,2.5,0.0,0.0,25.0,22.5,2.5,17.5,2.5,0.0,0.0,37.5,0.0,17.5,17.5,0.0,35.0,2.5,2.5,25.0,5.0,30.0,17.5,0.0,7.5,30.0,2.5,10.0,7.5,22.5,0.0,15.0,5.0,5.0,0.0,15.0,0.0
Cookers,5.0,5.0,0.0,0.0,32.5,0.0,0.0,32.5,0.0,32.5,0.0,0.0,30.0,7.5,5.0,32.5,32.5,0.0,0.0,7.5,0.0,32.5,7.5,30.0,2.5,35.0,0.0,0.0,25.0,2.5,0.0,35.0,0.0,0.0,0.0,5.0,12.5,5.0,5.0,7.5,0.0,0.0,0.0,17.5,0.0,0.0,7.5,12.5,0.0,35.0
Deep Fryers,2.5,2.5,0.0,0.0,37.5,0.0,32.5,0.0,0.0,27.500000000000004,0.0,0.0,25.0,5.0,5.0,22.5,35.0,0.0,2.5,5.0,0.0,25.0,10.0,37.5,0.0,40.0,0.0,0.0,27.500000000000004,0.0,0.0,25.0,0.0,0.0,0.0,5.0,10.0,2.5,0.0,2.5,0.0,0.0,0.0,20.0,0.0,0.0,2.5,10.0,0.0,17.5
Desktop Computers,0.0,2.5,15.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,7.5,10.0,0.0,5.0,5.0,0.0,0.0,25.0,22.5,5.0,12.5,0.0,0.0,0.0,40.0,0.0,27.500000000000004,22.5,0.0,32.5,7.5,0.0,22.5,2.5,40.0,22.5,0.0,12.5,30.0,2.5,15.0,10.0,30.0,0.0,20.0,7.5,2.5,0.0,17.5,0.0
Dishwashers,10.0,7.5,0.0,0.0,32.5,0.0,32.5,27.500000000000004,0.0,0.0,0.0,0.0,22.5,5.0,2.5,42.5,32.5,0.0,2.5,2.5,0.0,35.0,5.0,22.5,0.0,30.0,0.0,0.0,25.0,0.0,0.0,32.5,0.0,0.0,2.5,2.5,12.5,0.0,0.0,2.5,0.0,0.0,0.0,15.0,0.0,2.5,2.5,10.0,0.0,35.0
Drones,0.0,0.0,25.0,15.0,0.0,10.0,0.0,0.0,7.5,0.0,0.0,17.5,0.0,10.0,0.0,0.0,0.0,22.5,12.5,0.0,15.0,2.5,0.0,0.0,15.0,0.0,7.5,12.5,0.0,7.5,17.5,2.5,22.5,12.5,5.0,12.5,0.0,27.500000000000004,15.0,0.0,27.500000000000004,17.5,7.5,2.5,25.0,10.0,0.0,0.0,22.5,0.0
E-Readers,2.5,5.0,17.5,17.5,0.0,17.5,0.0,0.0,10.0,0.0,17.5,0.0,0.0,7.5,2.5,0.0,0.0,17.5,17.5,0.0,17.5,0.0,0.0,0.0,17.5,0.0,5.0,17.5,0.0,10.0,10.0,2.5,20.0,12.5,15.0,5.0,0.0,12.5,17.5,0.0,25.0,17.5,15.0,0.0,20.0,10.0,0.0,0.0,17.5,0.0
Electric Kettles,2.5,5.0,0.0,0.0,35.0,0.0,30.0,25.0,0.0,22.5,0.0,0.0,0.0,2.5,2.5,22.5,20.0,0.0,0.0,5.0,0.0,17.5,12.5,30.0,2.5,35.0,0.0,0.0,25.0,2.5,0.0,20.0,0.0,0.0,0.0,2.5,7.5,5.0,5.0,5.0,0.0,0.0,0.0,17.5,0.0,0.0,7.5,10.0,0.0,15.0
Electric Toothbrushes,10.0,7.5,17.5,12.5,2.5,7.5,7.5,5.0,5.0,5.0,10.0,7.5,2.5,0.0,15.0,2.5,5.0,7.5,5.0,45.0,10.0,7.5,15.0,5.0,7.5,10.0,5.0,5.0,5.0,2.5,10.0,7.5,7.5,12.5,5.0,7.5,10.0,10.0,10.0,35.0,10.0,10.0,5.0,5.0,7.5,12.5,37.5,7.5,5.0,7.5
Fans,30.0,25.0,5.0,2.5,5.0,2.5,5.0,5.0,5.0,2.5,0.0,2.5,2.5,15.0,0.0,5.0,7.5,0.0,0.0,7.5,5.0,5.0,15.0,7.5,2.5,5.0,5.0,2.5,5.0,2.5,5.0,2.5,2.5,0.0,7.5,2.5,27.500000000000004,5.0,5.0,5.0,5.0,5.0,2.5,5.0,0.0,7.5,7.5,22.5,0.0,12.5
Freezers,7.5,0.0,0.0,0.0,27.500000000000004,0.0,32.5,22.5,0.0,42.5,0.0,0.0,22.5,2.5,5.0,0.0,32.5,0.0,2.5,0.0,0.0,30.0,0.0,30.0,0.0,27.500000000000004,0.0,0.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,2.5,2.5,12.5,0.0,27.500000000000004
Fridges,7.5,5.0,0.0,0.0,27.500000000000004,0.0,32.5,35.0,0.0,32.5,0.0,0.0,20.0,5.0,7.5,32.5,0.0,0.0,0.0,5.0,0.0,25.0,5.0,30.0,0.0,25.0,0.0,0.0,22.5,0.0,0.0,27.500000000000004,0.0,0.0,0.0,2.5,15.0,2.5,0.0,2.5,0.0,0.0,0.0,10.0,0.0,2.5,2.5,10.0,0.0,22.5
Gaming Consoles,0.0,0.0,22.5,17.5,0.0,25.0,0.0,0.0,25.0,0.0,22.5,17.5,0.0,7.5,0.0,0.0,0.0,0.0,17.5,0.0,17.5,2.5,0.0,0.0,25.0,0.0,22.5,22.5,0.0,20.0,12.5,2.5,47.5,5.0,20.0,20.0,0.0,22.5,20.0,0.0,15.0,17.5,22.5,2.5,30.0,12.5,0.0,0.0,45.0,0.0
Graphic Cards,2.5,2.5,12.5,12.5,0.0,22.5,0.0,2.5,22.5,2.5,12.5,17.5,0.0,5.0,0.0,2.5,0.0,17.5,0.0,0.0,17.5,0.0,0.0,0.0,30.0,0.0,15.0,12.5,0.0,20.0,5.0,2.5,20.0,5.0,17.5,20.0,0.0,7.5,12.5,0.0,7.5,12.5,15.0,2.5,15.0,7.5,0.0,2.5,17.5,2.5
Hair Dryers,2.5,10.0,5.0,2.5,2.5,2.5,7.5,5.0,5.0,2.5,0.0,0.0,5.0,45.0,7.5,0.0,5.0,0.0,0.0,0.0,2.5,2.5,12.5,0.0,5.0,2.5,2.5,0.0,5.0,5.0,2.5,2.5,0.0,2.5,2.5,2.5,7.5,2.5,5.0,30.0,2.5,2.5,2.5,2.5,0.0,5.0,32.5,7.5,0.0,7.5
Headphones,2.5,5.0,20.0,22.5,0.0,17.5,0.0,0.0,12.5,0.0,15.0,17.5,0.0,10.0,5.0,0.0,0.0,17.5,17.5,2.5,0.0,0.0,2.5,0.0,17.5,0.0,7.5,20.0,0.0,10.0,10.0,2.5,15.0,7.5,12.5,12.5,0.0,22.5,15.0,2.5,22.5,20.0,27.500000000000004,2.5,12.5,10.0,2.5,0.0,12.5,0.0
Hobs,5.0,2.5,2.5,0.0,30.0,2.5,32.5,25.0,0.0,35.0,2.5,0.0,17.5,7.5,5.0,30.0,25.0,2.5,0.0,2.5,0.0,0.0,2.5,22.5,0.0,20.0,0.0,0.0,27.500000000000004,0.0,0.0,30.0,2.5,2.5,0.0,5.0,10.0,5.0,5.0,2.5,2.5,2.5,0.0,15.0,2.5,2.5,2.5,5.0,2.5,20.0
Irons,10.0,20.0,5.0,0.0,10.0,0.0,7.5,10.0,0.0,5.0,0.0,0.0,12.5,15.0,15.0,0.0,5.0,0.0,0.0,12.5,2.5,2.5,0.0,7.5,2.5,10.0,0.0,0.0,10.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,12.5,5.0,2.5,12.5,2.5,2.5,0.0,7.5,0.0,5.0,15.0,25.0,0.0,7.5
Juicers,5.0,2.5,0.0,0.0,42.5,0.0,30.0,37.5,0.0,22.5,0.0,0.0,30.0,5.0,7.5,30.0,30.0,0.0,0.0,0.0,0.0,22.5,7.5,0.0,0.0,45.0,0.0,0.0,30.0,0.0,0.0,27.500000000000004,0.0,0.0,0.0,7.5,12.5,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,2.5,5.0,10.0,0.0,20.0
