,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Air Conditioners,0.0,87.5,6.666666666666667,6.666666666666667,13.333333333333334,7.6923076923076925,11.76470588235294,8.333333333333332,0.0,23.52941176470588,0.0,7.142857142857142,7.142857142857142,23.52941176470588,80.0,17.647058823529413,23.076923076923077,0.0,6.666666666666667,7.6923076923076925,8.333333333333332,13.333333333333334,33.33333333333333,14.285714285714285,0.0,5.88235294117647,0.0,7.6923076923076925,0.0,0.0,0.0,20.0,0.0,9.090909090909092,12.5,8.333333333333332,100.0,5.555555555555555,6.25,20.0,5.555555555555555,0.0,7.142857142857142,22.22222222222222,0.0,37.5,17.647058823529413,69.23076923076923,0.0,38.46153846153847
Air Purifiers,87.5,0.0,17.647058823529413,11.76470588235294,11.11111111111111,5.555555555555555,11.76470588235294,6.666666666666667,5.88235294117647,14.285714285714285,0.0,12.5,14.285714285714285,15.0,71.42857142857143,0.0,15.384615384615385,0.0,5.555555555555555,26.666666666666668,13.333333333333334,5.88235294117647,47.05882352941176,7.6923076923076925,5.263157894736842,10.526315789473683,7.6923076923076925,13.333333333333334,13.333333333333334,5.88235294117647,6.25,13.333333333333334,0.0,0.0,13.333333333333334,18.75,83.33333333333334,5.555555555555555,9.523809523809524,23.52941176470588,15.789473684210526,7.6923076923076925,10.0,6.666666666666667,5.88235294117647,23.076923076923077,19.047619047619047,64.28571428571429,0.0,37.5
Cameras,6.666666666666667,17.647058823529413,0.0,58.82352941176471,0.0,38.46153846153847,0.0,0.0,37.5,0.0,62.5,50.0,0.0,33.33333333333333,16.666666666666664,0.0,0.0,52.94117647058824,35.714285714285715,11.76470588235294,61.53846153846154,7.6923076923076925,18.181818181818183,0.0,33.33333333333333,0.0,42.857142857142854,53.84615384615385,0.0,15.384615384615385,46.15384615384615,7.142857142857142,43.75,30.76923076923077,33.33333333333333,42.857142857142854,5.88235294117647,57.89473684210527,41.17647058823529,14.285714285714285,73.33333333333333,61.53846153846154,43.75,12.5,64.28571428571429,90.0,11.76470588235294,7.6923076923076925,44.44444444444444,0.0
Chargers,6.666666666666667,11.76470588235294,58.82352941176471,0.0,0.0,53.84615384615385,0.0,0.0,50.0,0.0,35.294117647058826,50.0,0.0,22.727272727272727,7.6923076923076925,0.0,0.0,43.75,33.33333333333333,7.142857142857142,69.23076923076923,0.0,0.0,0.0,42.10526315789473,0.0,46.15384615384615,61.53846153846154,0.0,35.714285714285715,33.33333333333333,5.88235294117647,35.714285714285715,60.0,40.0,50.0,0.0,27.77777777777778,44.44444444444444,6.666666666666667,70.58823529411765,61.53846153846154,52.94117647058824,9.090909090909092,62.5,50.0,11.76470588235294,0.0,29.411764705882355,0.0
Coffee Makers,13.333333333333334,11.11111111111111,0.0,0.0,0.0,0.0,86.66666666666667,88.23529411764706,0.0,72.22222222222221,0.0,0.0,100.0,5.263157894736842,15.384615384615385,73.33333333333333,73.33333333333333,0.0,0.0,7.6923076923076925,0.0,70.58823529411765,25.0,94.44444444444444,5.263157894736842,89.47368421052632,0.0,0.0,81.25,7.6923076923076925,0.0,68.75,0.0,0.0,0.0,13.333333333333334,26.666666666666668,0.0,7.142857142857142,11.76470588235294,0.0,0.0,0.0,69.23076923076923,0.0,7.6923076923076925,15.789473684210526,30.76923076923077,0.0,46.666666666666664
Computer Mice,7.6923076923076925,5.555555555555555,38.46153846153847,53.84615384615385,0.0,0.0,0.0,0.0,92.3076923076923,0.0,23.52941176470588,46.666666666666664,0.0,15.789473684210526,8.333333333333332,0.0,0.0,55.55555555555556,64.28571428571429,6.666666666666667,46.666666666666664,6.25,0.0,0.0,100.0,0.0,77.77777777777779,58.333333333333336,0.0,93.33333333333333,10.0,7.142857142857142,58.82352941176471,15.384615384615385,85.71428571428571,70.0,0.0,21.428571428571427,75.0,9.090909090909092,26.666666666666668,25.0,64.28571428571429,0.0,40.0,20.0,13.333333333333334,0.0,40.0,0.0
Cookers,11.76470588235294,11.76470588235294,0.0,0.0,86.66666666666667,0.0,0.0,81.25,0.0,76.47058823529412,0.0,0.0,80.0,14.285714285714285,16.666666666666664,86.66666666666667,92.85714285714286,0.0,0.0,20.0,0.0,100.0,18.75,80.0,5.263157894736842,73.68421052631578,0.0,0.0,83.33333333333334,6.25,0.0,93.33333333333333,0.0,0.0,0.0,16.666666666666664,31.25,11.11111111111111,12.5,20.0,0.0,0.0,0.0,58.333333333333336,0.0,0.0,15.789473684210526,33.33333333333333,0.0,70.0
Deep Fryers,8.333333333333332,6.666666666666667,0.0,0.0,88.23529411764706,0.0,81.25,0.0,0.0,64.70588235294117,0.0,0.0,90.9090909090909,10.526315789473683,15.384615384615385,69.23076923076923,82.35294117647058,0.0,6.25,15.384615384615385,0.0,83.33333333333334,25.0,88.23529411764706,0.0,94.11764705882352,0.0,0.0,84.61538461538461,0.0,0.0,66.66666666666666,0.0,0.0,0.0,18.181818181818183,33.33333333333333,6.25,0.0,7.142857142857142,0.0,0.0,0.0,72.72727272727273,0.0,0.0,5.88235294117647,30.76923076923077,0.0,46.666666666666664
Desktop Computers,0.0,5.88235294117647,37.5,50.0,0.0,92.3076923076923,0.0,0.0,0.0,0.0,18.75,28.57142857142857,0.0,9.523809523809524,15.384615384615385,0.0,0.0,58.82352941176471,69.23076923076923,13.333333333333334,38.46153846153847,0.0,0.0,0.0,94.11764705882352,0.0,84.61538461538461,64.28571428571429,0.0,92.85714285714286,23.076923076923077,0.0,56.25,8.333333333333332,94.11764705882352,81.81818181818183,0.0,27.77777777777778,80.0,5.263157894736842,35.294117647058826,30.76923076923077,63.1578947368421,0.0,61.53846153846154,37.5,6.25,0.0,46.666666666666664,0.0
Dishwashers,23.52941176470588,14.285714285714285,0.0,0.0,72.22222222222221,0.0,76.47058823529412,64.70588235294117,0.0,0.0,0.0,0.0,64.28571428571429,10.0,6.25,94.44444444444444,92.85714285714286,0.0,5.555555555555555,7.142857142857142,0.0,82.35294117647058,12.5,56.25,0.0,57.14285714285714,0.0,0.0,66.66666666666666,0.0,0.0,81.25,0.0,0.0,5.263157894736842,7.142857142857142,27.77777777777778,0.0,0.0,6.666666666666667,0.0,0.0,0.0,50.0,0.0,9.090909090909092,5.0,30.76923076923077,0.0,82.35294117647058
