,id,type,category,at,ids,title,index,variant,respondent,respondentID
0,675885,move,pAg7d0gkerRfH86bDvpKx,24861,,,,B30,8,120
1,,rename,pAg7d0gkerRfH86bDvpKx,42203,['675885'],Personal,,B30,8,120
2,675895,move,Ov9Xizh2MZAH5E2bneCoH,47638,,,,B30,8,120
3,,rename,Ov9Xizh2MZAH5E2bneCoH,55013,['675895'],Banking,,B30,8,120
4,675894,move,pAg7d0gkerRfH86bDvpKx,60577,,,0.0,B30,8,120
5,675884,move,pAg7d0gkerRfH86bDvpKx,62386,,,0.0,B30,8,120
6,675883,move,pAg7d0gkerRfH86bDvpKx,63945,,,1.0,B30,8,120
7,675854,move,XjUHjqFeVY5ZHHDfhwONn,74746,,,,B30,8,120
8,,rename,XjUHjqFeVY5ZHHDfhwONn,80333,['675854'],payments ,,B30,8,120
9,675858,move,Ov9Xizh2MZAH5E2bneCoH,84588,,,0.0,B30,8,120
10,675850,move,Ov9Xizh2MZAH5E2bneCoH,90054,,,0.0,B30,8,120
11,675848,move,Ov9Xizh2MZAH5E2bneCoH,92336,,,2.0,B30,8,120
12,675859,move,XjUHjqFeVY5ZHHDfhwONn,96633,,,0.0,B30,8,120
13,675853,move,XjUHjqFeVY5ZHHDfhwONn,99681,,,0.0,B30,8,120
14,675882,move,Ov9Xizh2MZAH5E2bneCoH,101962,,,1.0,B30,8,120
15,675880,move,XjUHjqFeVY5ZHHDfhwONn,104764,,,0.0,B30,8,120
16,675849,move,Ov9Xizh2MZAH5E2bneCoH,109205,,,0.0,B30,8,120
17,675862,move,Ov9Xizh2MZAH5E2bneCoH,111769,,,0.0,B30,8,120
18,675852,move,XjUHjqFeVY5ZHHDfhwONn,115147,,,0.0,B30,8,120
19,675871,move,Ov9Xizh2MZAH5E2bneCoH,117360,,,0.0,B30,8,120
20,675891,sort,,122652,,,3.0,B30,8,120
21,675861,move,Ov9Xizh2MZAH5E2bneCoH,125148,,,1.0,B30,8,120
22,675877,move,Ov9Xizh2MZAH5E2bneCoH,128073,,,0.0,B30,8,120
23,675891,move,XjUHjqFeVY5ZHHDfhwONn,135499,,,1.0,B30,8,120
24,675881,move,Ov9Xizh2MZAH5E2bneCoH,138471,,,1.0,B30,8,120
25,675873,move,Ov9Xizh2MZAH5E2bneCoH,142500,,,0.0,B30,8,120
26,675851,move,pAg7d0gkerRfH86bDvpKx,149566,,,1.0,B30,8,120
27,675872,move,pAg7d0gkerRfH86bDvpKx,152189,,,2.0,B30,8,120
28,675872,move,XjUHjqFeVY5ZHHDfhwONn,154139,,,2.0,B30,8,120
29,675863,move,Ov9Xizh2MZAH5E2bneCoH,157680,,,0.0,B30,8,120
30,675868,move,Ov9Xizh2MZAH5E2bneCoH,161542,,,1.0,B30,8,120
31,675890,move,pAg7d0gkerRfH86bDvpKx,163372,,,2.0,B30,8,120
32,675865,move,Ov9Xizh2MZAH5E2bneCoH,166055,,,3.0,B30,8,120
33,675870,move,Ov9Xizh2MZAH5E2bneCoH,168670,,,2.0,B30,8,120
34,675887,move,Ov9Xizh2MZAH5E2bneCoH,171718,,,3.0,B30,8,120
35,675865,move,PQMcYgbq0ED6S513fYBw1,12078,,,,B30,9,121
36,675869,move,X94idjFdjId1mribCth9A,17348,,,,B30,9,121
37,675880,move,jzfuQZVVNot7VwnyptO1T,19449,,,,B30,9,121
38,675894,sort,,25609,,,1.0,B30,9,121
39,675887,move,3joFgKTzYp3nmVlI552RM,27948,,,,B30,9,121
40,675870,move,2Vp6D7w1xv9jk2ZrofRVA,29910,,,,B30,9,121
41,675892,move,GKI1K4dDOaVZGLNXZ1iRg,35720,,,,B30,9,121
42,,rename,PQMcYgbq0ED6S513fYBw1,44951,['675865'],types of accounts,,B30,9,121
43,,rename,X94idjFdjId1mribCth9A,51165,['675869'],payment methods,,B30,9,121
44,675890,move,0kwpKthKXB9ypX38ycb3I,61516,,,,B30,9,121
45,675851,move,eMQ7MPaDrz4i7UojZGgMY,70080,,,,B30,9,121
46,675892,move,PQMcYgbq0ED6S513fYBw1,79503,,,0.0,B30,9,121
47,,remove,GKI1K4dDOaVZGLNXZ1iRg,79714,['675892'],,,B30,9,121
48,675890,move,PQMcYgbq0ED6S513fYBw1,91837,,,2.0,B30,9,121
49,,remove,0kwpKthKXB9ypX38ycb3I,92044,['675890'],,,B30,9,121
50,,rename,eMQ7MPaDrz4i7UojZGgMY,100383,['675851'],Insurance,,B30,9,121
51,,rename,3joFgKTzYp3nmVlI552RM,103735,['675887'],Calculators,,B30,9,121
52,675870,move,3joFgKTzYp3nmVlI552RM,106922,,,0.0,B30,9,121
53,,remove,2Vp6D7w1xv9jk2ZrofRVA,107129,['675870'],,,B30,9,121
54,675882,move,cDJ8e3RmMl7H7Ao2WhoGE,114930,,,,B30,9,121
55,675855,move,cDJ8e3RmMl7H7Ao2WhoGE,116621,,,0.0,B30,9,121
56,,rename,cDJ8e3RmMl7H7Ao2WhoGE,125239,"['675855', '675882']",Ways to monitor spending,,B30,9,121
57,675889,move,PQMcYgbq0ED6S513fYBw1,130894,,,1.0,B30,9,121
58,675866,move,PQMcYgbq0ED6S513fYBw1,135638,,,3.0,B30,9,121
59,675847,move,cDJ8e3RmMl7H7Ao2WhoGE,140434,,,2.0,B30,9,121
60,675883,move,3joFgKTzYp3nmVlI552RM,143155,,,1.0,B30,9,121
61,675888,move,jzfuQZVVNot7VwnyptO1T,147914,,,0.0,B30,9,121
62,675856,move,PQMcYgbq0ED6S513fYBw1,150793,,,2.0,B30,9,121
63,675894,move,eMQ7MPaDrz4i7UojZGgMY,152732,,,1.0,B30,9,121
64,675884,move,PQMcYgbq0ED6S513fYBw1,154355,,,3.0,B30,9,121
65,675863,move,cDJ8e3RmMl7H7Ao2WhoGE,157222,,,1.0,B30,9,121
66,675891,move,PQMcYgbq0ED6S513fYBw1,158988,,,3.0,B30,9,121
67,675867,move,cDJ8e3RmMl7H7Ao2WhoGE,165586,,,2.0,B30,9,121
68,675881,move,PQMcYgbq0ED6S513fYBw1,168088,,,3.0,B30,9,121
69,675849,move,PQMcYgbq0ED6S513fYBw1,169892,,,2.0,B30,9,121
