,respondent,time,categories,variant,age,gender,education,income,domain,crt1,crt2,crt3,crtCheck,crtCheckElaborate,att1,labelClarity,sortDifficulty,concentration,timeAmount,cardQuantity,bf1,bf2,bf3,bf4,bf5,bf6,bf7,bf8,bf9,bf10,bf11,bf12,bf13,bf14,bf15,att2,note
0,5,00:06:43,2,E50,18 - 24,Woman,Technical/community college,"£20,000 - £29,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,3,5,3,2,3,4,2,3,4,4,1,3,2,2,5,4,5,3,4,30,no
1,6,00:18:49,11,E50,18 - 24,Woman,High school diploma,"£0 - £9,999",At least once a week,5 pence,100 minutes,12 days,Yes,"all of them, honestly. ",Salad,4,4,5,3,2,5,4,4,5,4,2,4,5,5,2,2,3,3,2,3,30,very good study to understand and questions were easy to follow aswell
2,7,00:07:04,4,E50,18 - 24,Man,Undergraduate degree,No income,At least once a week,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,3,5,3,2,2,4,2,2,3,3,2,2,1,2,3,4,4,5,4,30,Did not answer
3,8,00:10:50,9,E50,18 - 24,Man,Undergraduate degree,"More than £100,000",Less often,5 pence,5 minutes,47 days,No,Did not answer,Salad,5,4,4,3,4,3,5,1,1,5,4,1,1,1,1,4,4,4,4,4,30,Did not answer
4,10,00:12:53,7,E50,18 - 24,Man,High school diploma,No income,Less often,10 pence,100 minutes,47 days,No,Did not answer,Salad,5,3,4,3,3,5,4,4,4,4,2,2,4,3,3,2,4,4,4,3,30,Did not answer
5,11,00:12:37,7,E50,18 - 24,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,No,Did not answer,Salad,4,4,4,3,3,5,3,2,1,5,3,3,2,2,1,2,3,4,4,3,30,No
6,12,00:08:49,5,E50,18 - 24,Woman,Graduate degree,"£0 - £9,999",Less often,10 pence,5 minutes,47 days,No,Did not answer,Salad,4,3,5,4,3,2,5,4,4,3,3,1,5,3,2,4,4,5,2,4,30,"Good study, please invite me to more."
7,13,00:07:15,3,E50,18 - 24,Man,High school diploma,"£20,000 - £29,999",At least once a week,10 pence,100 minutes,24 days,Yes,"During a past survey I did, these questions were present.",Salad,5,2,3,2,2,4,4,3,4,5,3,2,2,3,2,3,4,4,3,3,30,"Interesting survey, all went well."
8,15,00:16:41,5,E50,35 - 44,Woman,Undergraduate degree,"£20,000 - £29,999",At least once a week,5 pence,5 minutes,47 days,Yes,MQ3 about the lily pads ,Salad,5,4,5,3,3,2,5,1,4,1,4,3,2,1,4,3,2,4,4,4,30,Did not answer
9,16,00:06:28,4,E50,35 - 44,Woman,Undergraduate degree,"£0 - £9,999",At least once a month,10 pence,100 minutes,24 days,Yes,All of them.,Salad,5,5,5,3,3,4,5,3,5,5,2,1,2,4,1,2,3,4,3,4,30,Not at this time.
10,17,00:09:50,4,E50,35 - 44,Woman,Undergraduate degree,"£75,000 - £100,000",Multiple times a day,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,4,5,3,3,2,4,2,2,5,4,2,2,1,2,4,4,4,4,4,30,Did not answer
11,18,00:10:16,6,E50,35 - 44,Woman,Undergraduate degree,"£10,000 - £19,999",At least once a day,5 pence,5 minutes,47 days,Yes,"All three questions many times over the last five to ten years, I couldn't say when I first encountered them",Salad,5,4,5,3,3,5,2,4,5,5,2,4,5,5,2,1,1,2,2,2,30,"This was an interesting task, some of the objects could have straddled more than one category, and some of the categories I chose could have been split down into smaller groupings but I felt that level of granularity would have been unhelpful"
12,19,00:12:12,5,E50,35 - 44,Man,Undergraduate degree,"£40,000 - £49,999",At least once a day,10 pence,100 minutes,47 days,No,Did not answer,Salad,5,4,5,3,3,4,4,3,3,2,4,3,2,2,4,5,4,4,3,4,30,Did not answer
13,20,00:06:35,3,E50,35 - 44,Man,Secondary education,"£40,000 - £49,999",At least once a month,10 pence,100 minutes,24 days,No,Did not answer,Salad,5,4,5,3,3,3,4,2,4,3,3,2,3,4,3,4,4,5,3,3,12,Did not answer
14,23,00:11:23,4,E50,55+,Woman,Secondary education,"£10,000 - £19,999",Less often,10 pence,100 minutes,24 days,No,Did not answer,Salad,4,4,4,3,3,2,3,3,2,3,4,2,2,1,3,4,3,4,4,3,30,Did not answer
