,respondent,card,category,categoryId,categoryStandardized,order,variant
0,5,Air Conditioners,White Goods / Household items ,1,White goods,16,E50
1,5,Air Purifiers,White Goods / Household items ,1,White goods,10,E50
2,5,Cameras,Electrical items ,2,Electronics,25,E50
3,5,Chargers,Electrical items ,2,Electronics,18,E50
4,5,Coffee Makers,White Goods / Household items ,1,White goods,15,E50
5,5,Computer Mice,Electrical items ,2,Electronics,28,E50
6,5,Cookers,White Goods / Household items ,1,White goods,12,E50
7,5,Deep Fryers,White Goods / Household items ,1,White goods,20,E50
8,5,Desktop Computers,Electrical items ,2,Electronics,11,E50
9,5,Dishwashers,White Goods / Household items ,1,White goods,5,E50
10,5,Drones,Electrical items ,2,Electronics,21,E50
11,5,E-Readers,Electrical items ,2,Electronics,5,E50
12,5,Electric Kettles,White Goods / Household items ,1,White goods,17,E50
13,5,Electric Toothbrushes,Electrical items ,2,Electronics,9,E50
14,5,Fans,White Goods / Household items ,1,White goods,6,E50
15,5,Freezers,White Goods / Household items ,1,White goods,11,E50
16,5,Fridges,White Goods / Household items ,1,White goods,9,E50
17,5,Gaming Consoles,Electrical items ,2,Electronics,19,E50
18,5,Graphic Cards,Electrical items ,2,Electronics,12,E50
19,5,Hair Dryers,Electrical items ,2,Electronics,6,E50
20,5,Headphones,Electrical items ,2,Electronics,2,E50
21,5,Hobs,White Goods / Household items ,1,White goods,7,E50
22,5,Irons,White Goods / Household items ,1,White goods,4,E50
23,5,Juicers,White Goods / Household items ,1,White goods,2,E50
24,5,Keyboards,Electrical items ,2,Electronics,3,E50
25,5,Kitchen Scales,White Goods / Household items ,1,White goods,14,E50
26,5,Laptops,Electrical items ,2,Electronics,16,E50
27,5,Microphones,Electrical items ,2,Electronics,23,E50
28,5,Microwave Ovens,White Goods / Household items ,1,White goods,19,E50
29,5,Monitors,Electrical items ,2,Electronics,1,E50
30,5,Musical Instruments,Electrical items ,2,Electronics,7,E50
31,5,Ovens,White Goods / Household items ,1,White goods,1,E50
32,5,PC Games,Electrical items ,2,Electronics,13,E50
33,5,Phone Cases,Electrical items ,2,Electronics,17,E50
34,5,Printers,Electrical items ,2,Electronics,24,E50
35,5,Processors,Electrical items ,2,Electronics,27,E50
36,5,Radiators,White Goods / Household items ,1,White goods,8,E50
37,5,Radios,Electrical items ,2,Electronics,30,E50
38,5,Scanners,Electrical items ,2,Electronics,26,E50
39,5,Shavers,Electrical items ,2,Electronics,4,E50
40,5,Smart Watches,Electrical items ,2,Electronics,14,E50
41,5,Smartphones,Electrical items ,2,Electronics,10,E50
42,5,Speakers,Electrical items ,2,Electronics,22,E50
43,5,Stand Mixers,White Goods / Household items ,1,White goods,13,E50
44,5,Tablets,Electrical items ,2,Electronics,29,E50
45,5,Televisions,Electrical items ,2,Electronics,20,E50
46,5,Trimmers,Electrical items ,2,Electronics,8,E50
47,5,Vacuum Cleaners,White Goods / Household items ,1,White goods,18,E50
48,5,VR Headsets,Electrical items ,2,Electronics,15,E50
49,5,Washing Machines,White Goods / Household items ,1,White goods,3,E50
50,6,Air Conditioners,central heating,7,Air Heating & Cooling,1,E50
51,6,Air Purifiers,cleaning gadgets,10,Cleaning,3,E50
52,6,Cameras,computer parts,4,Computers & Accessories,7,E50
53,6,Chargers,phone accessories,8,Phones & Accessories,2,E50
54,6,Coffee Makers,kitchen gadgets,3,Kitchen,6,E50
55,6,Computer Mice,computer parts,4,Computers & Accessories,6,E50
56,6,Cookers,kitchen gadgets,3,Kitchen,7,E50
57,6,Deep Fryers,kitchen gadgets,3,Kitchen,4,E50
58,6,Desktop Computers,essential technology,12,Technology,2,E50
59,6,Dishwashers,cleaning gadgets,10,Cleaning,4,E50
60,6,Drones,gaming  and entertainment accessories and gadgets,11,Gadgets,4,E50
61,6,E-Readers,gaming  and entertainment accessories and gadgets,11,Gadgets,6,E50
62,6,Electric Kettles,kitchen gadgets,3,Kitchen,10,E50
63,6,Electric Toothbrushes,hygiene and grooming gadgets,5,Hygiene,1,E50
64,6,Fans,computer parts,4,Computers & Accessories,1,E50
65,6,Freezers,kitchen gadgets,3,Kitchen,1,E50
66,6,Fridges,kitchen gadgets,3,Kitchen,12,E50
67,6,Gaming Consoles,gaming  and entertainment accessories and gadgets,11,Gadgets,2,E50
68,6,Graphic Cards,computer parts,4,Computers & Accessories,4,E50
69,6,Hair Dryers,hygiene and grooming gadgets,5,Hygiene,4,E50
70,6,Headphones,Music gadgets,6,Music,2,E50
71,6,Hobs,kitchen gadgets,3,Kitchen,8,E50
72,6,Irons,misc home appliances,9,Home/Household,1,E50
73,6,Juicers,kitchen gadgets,3,Kitchen,2,E50
74,6,Keyboards,computer parts,4,Computers & Accessories,5,E50
75,6,Kitchen Scales,kitchen gadgets,3,Kitchen,11,E50
76,6,Laptops,essential technology,12,Technology,3,E50
77,6,Microphones,gaming  and entertainment accessories and gadgets,11,Gadgets,5,E50
78,6,Microwave Ovens,kitchen gadgets,3,Kitchen,3,E50
79,6,Monitors,computer parts,4,Computers & Accessories,3,E50
80,6,Musical Instruments,Music gadgets,6,Music,4,E50
81,6,Ovens,kitchen gadgets,3,Kitchen,9,E50
82,6,PC Games,gaming  and entertainment accessories and gadgets,11,Gadgets,1,E50
83,6,Phone Cases,phone accessories,8,Phones & Accessories,1,E50
84,6,Printers,document technology,13,Technology,1,E50
85,6,Processors,computer parts,4,Computers & Accessories,2,E50
86,6,Radiators,central heating,7,Air Heating & Cooling,2,E50
87,6,Radios,Music gadgets,6,Music,1,E50
88,6,Scanners,document technology,13,Technology,2,E50
89,6,Shavers,hygiene and grooming gadgets,5,Hygiene,2,E50
90,6,Smart Watches,phone accessories,8,Phones & Accessories,3,E50
91,6,Smartphones,essential technology,12,Technology,1,E50
92,6,Speakers,Music gadgets,6,Music,3,E50
93,6,Stand Mixers,kitchen gadgets,3,Kitchen,5,E50
94,6,Tablets,essential technology,12,Technology,4,E50
95,6,Televisions,essential technology,12,Technology,5,E50
96,6,Trimmers,hygiene and grooming gadgets,5,Hygiene,3,E50
97,6,Vacuum Cleaners,cleaning gadgets,10,Cleaning,1,E50
98,6,VR Headsets,gaming  and entertainment accessories and gadgets,11,Gadgets,3,E50
99,6,Washing Machines,cleaning gadgets,10,Cleaning,2,E50
100,7,Air Conditioners,General Household Appliances,14,Home/Household,3,E50
101,7,Air Purifiers,General Household Appliances,14,Home/Household,7,E50
102,7,Cameras,Entertainment/Electronics,16,Entertainment,15,E50
103,7,Chargers,Misc.,17,Misc/Other,4,E50
104,7,Coffee Makers,Kitchen Appliances,15,Kitchen,6,E50
105,7,Computer Mice,Entertainment/Electronics,16,Entertainment,2,E50
106,7,Cookers,Kitchen Appliances,15,Kitchen,4,E50
107,7,Deep Fryers,Kitchen Appliances,15,Kitchen,8,E50
108,7,Desktop Computers,Entertainment/Electronics,16,Entertainment,5,E50
109,7,Dishwashers,Kitchen Appliances,15,Kitchen,7,E50
110,7,Drones,Misc.,17,Misc/Other,3,E50
111,7,E-Readers,Entertainment/Electronics,16,Entertainment,4,E50
112,7,Electric Kettles,Kitchen Appliances,15,Kitchen,12,E50
113,7,Electric Toothbrushes,General Household Appliances,14,Home/Household,5,E50
