,respondent,card,category,categoryId,categoryStandardized,order,variant,categoryEdited,agreement
0,5,Air Conditioners,White Goods / Household items ,1,White goods,16,E50,white goods household items,53.333333333333336
1,5,Air Purifiers,White Goods / Household items ,1,White goods,10,E50,white goods household items,53.333333333333336
2,5,Cameras,Electrical items ,2,Electronics,25,E50,electrical items,33.38461538461539
3,5,Chargers,Electrical items ,2,Electronics,18,E50,electrical items,33.38461538461539
4,5,Coffee Makers,White Goods / Household items ,1,White goods,15,E50,white goods household items,53.333333333333336
5,5,Computer Mice,Electrical items ,2,Electronics,28,E50,electrical items,33.38461538461539
6,5,Cookers,White Goods / Household items ,1,White goods,12,E50,white goods household items,53.333333333333336
7,5,Deep Fryers,White Goods / Household items ,1,White goods,20,E50,white goods household items,53.333333333333336
8,5,Desktop Computers,Electrical items ,2,Electronics,11,E50,electrical items,33.38461538461539
9,5,Dishwashers,White Goods / Household items ,1,White goods,5,E50,white goods household items,53.333333333333336
10,5,Drones,Electrical items ,2,Electronics,21,E50,electrical items,33.38461538461539
11,5,E-Readers,Electrical items ,2,Electronics,5,E50,electrical items,33.38461538461539
12,5,Electric Kettles,White Goods / Household items ,1,White goods,17,E50,white goods household items,53.333333333333336
13,5,Electric Toothbrushes,Electrical items ,2,Electronics,9,E50,electrical items,33.38461538461539
14,5,Fans,White Goods / Household items ,1,White goods,6,E50,white goods household items,53.333333333333336
15,5,Freezers,White Goods / Household items ,1,White goods,11,E50,white goods household items,53.333333333333336
16,5,Fridges,White Goods / Household items ,1,White goods,9,E50,white goods household items,53.333333333333336
17,5,Gaming Consoles,Electrical items ,2,Electronics,19,E50,electrical items,33.38461538461539
18,5,Graphic Cards,Electrical items ,2,Electronics,12,E50,electrical items,33.38461538461539
19,5,Hair Dryers,Electrical items ,2,Electronics,6,E50,electrical items,33.38461538461539
20,5,Headphones,Electrical items ,2,Electronics,2,E50,electrical items,33.38461538461539
21,5,Hobs,White Goods / Household items ,1,White goods,7,E50,white goods household items,53.333333333333336
22,5,Irons,White Goods / Household items ,1,White goods,4,E50,white goods household items,53.333333333333336
